State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Junagarh,"Visavadar APMC",Beans,Other,FAQ,21/04/2026,2900,3500,3200
Gujarat,Junagarh,"Visavadar APMC",Groundnut(Split),Groundnut(Split),FAQ,21/04/2026,7250,7930,7590
Gujarat,Porbandar,"Porbandar APMC",Brinjal,"Arkasheela Mattigulla",Local,21/04/2026,1000,1500,1250
Gujarat,Porbandar,"Porbandar APMC",Cabbage,Cabbage,Local,21/04/2026,750,1250,1000
Gujarat,Porbandar,"Porbandar APMC",Coriander(Leaves),Coriander,Local,21/04/2026,2000,3000,2500
Gujarat,Porbandar,"Porbandar APMC",Onion,Other,Non-FAQ,21/04/2026,750,1250,1000
Gujarat,Porbandar,"Porbandar APMC",Chikoos(Sapota),Other,"Grade A",21/04/2026,2000,2500,2250
Gujarat,Porbandar,"Porbandar APMC",Pomegranate,Other,"Grade A",21/04/2026,4000,8000,6000
Gujarat,Amreli,"Babra APMC","Arhar(Tur/Red Gram)(Whole)",Other,FAQ,21/04/2026,6325,7125,6475
Gujarat,Junagarh,"Bhesan APMC",Wheat,Other,FAQ,21/04/2026,1500,2500,2000
Gujarat,Junagarh,"Bhesan APMC",Cotton,Other,FAQ,21/04/2026,6000,8900,8000
Gujarat,Bhavnagar,"Taleja APMC",Cotton,"Shanker 6 (B) 30mm FIne",FAQ,21/04/2026,6755,7750,7255
Gujarat,Bhavnagar,"Taleja APMC","Black Gram(Urd Beans)(Whole)",Local,FAQ,21/04/2026,4755,7500,6130
Gujarat,Bhavnagar,"Taleja APMC","Arhar(Tur/Red Gram)(Whole)",Other,FAQ,21/04/2026,6010,6010,6010
Gujarat,Jamnagar,"Dhrol APMC",Cotton,Other,Local,21/04/2026,4575,8755,6665
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Grapes,Green,Local,21/04/2026,4900,13000,8950
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC","Water Melon","Water Melon",Local,21/04/2026,500,1500,1000
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Brinjal,Brinjal,Local,21/04/2026,200,3000,1600
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Cabbage,Cabbage,Local,21/04/2026,300,1000,650
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Raddish,Raddish,Local,21/04/2026,750,1250,1000
Gujarat,Morbi,"APMC HALVAD","Bengal Gram(Gram)(Whole)",Other,Local,21/04/2026,4625,5305,5150
Gujarat,Morbi,"APMC HALVAD",Cotton,Local,Local,21/04/2026,6125,8225,7500
Gujarat,Morbi,"APMC HALVAD","Cummin Seed(Jeera)","Cummin Seed(Jeera)",Local,21/04/2026,17000,20840,19750
Gujarat,Morbi,"APMC HALVAD","Corriander seed",Other,Local,21/04/2026,11075,13000,12500
Gujarat,Morbi,"APMC HALVAD","Bengal Gram(Gram)(Whole)",Bold,Local,21/04/2026,5400,8175,7500
Karnataka,Mysore,"Mysore (Bandipalya) APMC","Bottle gourd","Bottle Gourd","Grade Range-1",21/04/2026,600,800,700
Karnataka,Mysore,"Mysore (Bandipalya) APMC",Cucumbar(Kheera),Cucumbar,"Grade Range-1",21/04/2026,2800,3000,2900
Karnataka,Mysore,"Mysore (Bandipalya) APMC",Thondekai,Thondekai,"Grade Range-1",21/04/2026,1300,1500,1400
Karnataka,Mysore,"Mysore (Bandipalya) APMC",Capsicum,Capsicum,"Grade Range-1",21/04/2026,2500,2700,2600
Karnataka,Mysore,"Mysore (Bandipalya) APMC","Suvarna Gadde",Suvarnagadde,"Grade Range-1",21/04/2026,2300,2500,2400
Karnataka,Raichur,"Sindhanur APMC",Jowar(Sorghum),"Jowar Hybrid",Local,21/04/2026,2900,3000,3000
Karnataka,Davangere,"Honnali APMC",Arecanut(Betelnut/Supari),Rashi,Medium,21/04/2026,25200,27000,26067
Karnataka,Shimoga,"Shikaripura APMC",Ginger(Dry),Dry,Small,21/04/2026,10000,10000,10000
Karnataka,Shimoga,"Shikaripura APMC",Maize,Local,Non-FAQ,21/04/2026,1750,1950,1851
Karnataka,Bangalore,"Doddaballa Pur APMC",Onion,Onion,Medium,21/04/2026,1500,2000,1700
Karnataka,Bangalore,"Doddaballa Pur APMC",Garlic,Other,Medium,21/04/2026,10000,14000,12000
Karnataka,Bangalore,"Doddaballa Pur APMC",Coconut,Grade-I,Medium,21/04/2026,16000,28000,24000
Karnataka,Bangalore,"Doddaballa Pur APMC",Ginger(Green),"Green Ginger",Medium,21/04/2026,5000,6000,5500
Karnataka,Bangalore,"Doddaballa Pur APMC",Maize,Local,FAQ,21/04/2026,1750,1850,1780
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Cucumbar(Kheera),Cucumbar,Local,21/04/2026,1000,1500,1300
Karnataka,Davangere,"Channagiri APMC",Maize,Local,"Grade Range-1",21/04/2026,1800,1800,1800
Karnataka,Kolar,"Bangarpet APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,21/04/2026,800,1300,1000
Karnataka,Kolar,"Bangarpet APMC",Drumstick,Drumstick,Local,21/04/2026,2000,2500,2300
Karnataka,Bangalore,"Ramanagara APMC",Tomato,Tomato,Local,21/04/2026,2500,3500,3000
Karnataka,Bangalore,"Ramanagara APMC","Green Chilli","Green Chilly",Local,21/04/2026,3000,4800,4000
Karnataka,Bangalore,"Ramanagara APMC",Beetroot,Beetroot,Local,21/04/2026,2400,3000,2800
Karnataka,Raichur,"Lingasugur APMC",Maize,Hybrid/Local,Non-FAQ,21/04/2026,1600,2200,1750
Karnataka,Raichur,"Lingasugur APMC","Bengal Gram(Gram)(Whole)","Average (Whole)",Non-FAQ,21/04/2026,5000,5550,5200
Karnataka,Raichur,"Lingasugur APMC","Bajra(Pearl Millet/Cumbu)",Hybrid,Non-FAQ,21/04/2026,1975,2400,2250
Gujarat,Surat,"Surat APMC","Pegeon Pea(Arhar Fali)",Other,FAQ,21/04/2026,3500,11000,7250
Gujarat,Surat,"Surat APMC","Sweet Potato",Other,FAQ,21/04/2026,1300,2500,1900
Gujarat,Surat,"Surat APMC","Bhindi(Ladies Finger)",Bhindi,FAQ,21/04/2026,1000,3500,2250
Gujarat,Surat,"Surat APMC","Little gourd(Kundru)",Other,FAQ,21/04/2026,1000,3000,2000
Gujarat,Surat,"Surat APMC",Drumstick,Drumstick,FAQ,21/04/2026,1000,3000,2000
Gujarat,Surat,"Surat APMC",Mango(Raw-Ripe),Other,FAQ,21/04/2026,2000,11000,6500
Punjab,Bhatinda,"Bhagta Bhai Ka (Jalal) APMC",Wheat,Other,"Grade Range-1",21/04/2026,2585,2585,2585
